signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close
2026-07-27T10:59:06+08:00,2026-07-27T10:59:07+08:00,2026-07-27T11:02:06+08:00,0.1806600000,5.8410%,5.9962%,5.2981%,3743176.0000000000,5993.0000000000,124.9183x,0.1198700000,50.7133%,0.1148400000,0.1263240000,0.1820000000,0.0012428571,momentum_atr_estimate,0.1810678571,0.1863500000,0.1840200000,0.1780500000,1.8598%,-1.4447%,no,0.1805707143,0.30,not_placed,,0.1810678571,0.40,not_placed,,0.1815650000,0.30,not_placed,,0,rejected_origin_floor,0.1840200000,0.1780500000,0.1818100000
2026-07-28T00:47:05+08:00,2026-07-28T00:47:06+08:00,2026-07-28T00:50:05+08:00,0.1952400000,10.4174%,10.5049%,10.9003%,5038456.0000000000,2537.0000000000,397.1980x,0.1346200000,45.0305%,0.1220500000,0.1342550000,0.1958800000,0.0034657143,momentum_atr_estimate,0.1932807143,0.2080100000,0.1978800000,0.1821900000,1.3522%,-6.6841%,no,0.1918944286,0.30,not_placed,,0.1932807143,0.40,not_placed,,0.1946670000,0.30,not_placed,,0,rejected_origin_floor,0.1978800000,0.1780100000,0.1797400000
2026-07-28T02:23:31+08:00,2026-07-28T02:23:32+08:00,2026-07-28T02:26:31+08:00,0.2074300000,6.7576%,6.7246%,7.0993%,8429209.0000000000,4229.0000000000,398.6384x,0.1406400000,47.4900%,0.1245600000,0.1370160000,0.2170000000,0.0036607143,momentum_atr_estimate,0.2142544643,0.2298125000,0.2161600000,0.1956100000,4.2086%,-5.6983%,no,0.2127901786,0.30,filled,2026-07-28T02:23:40+08:00,0.2142544643,0.40,filled,2026-07-28T02:23:57+08:00,0.2157187500,0.30,filled,2026-07-28T02:23:59+08:00,3,all_filled,0.2161600000,0.1956100000,0.1982200000
2026-07-28T03:35:30+08:00,2026-07-28T03:35:31+08:00,2026-07-28T03:38:30+08:00,0.2268900000,5.7812%,5.8453%,6.5561%,5525075.0000000000,9577.0000000000,115.3822x,0.1462800000,55.1066%,0.1293600000,0.1422960000,0.2272600000,0.0028357143,momentum_atr_estimate,0.2251332143,0.2371850000,0.2299900000,0.2159600000,1.3663%,-4.8173%,no,0.2239989286,0.30,not_placed,,0.2251332143,0.40,not_placed,,0.2262675000,0.30,not_placed,,0,rejected_origin_floor,0.2299900000,0.2159600000,0.2222900000
