signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close
2026-07-30T10:51:13+08:00,2026-07-30T10:51:14+08:00,2026-07-30T10:54:13+08:00,0.0116690000,7.2223%,7.8167%,8.5085%,63908993.0000000000,103478.0000000000,123.5219x,0.0077720000,50.1415%,0.0077720000,0.0085492000,0.0117260000,0.0001741429,momentum_atr_estimate,0.0115953929,0.0123355000,0.0117600000,0.0108900000,0.7798%,-6.6758%,no,0.0115257357,0.30,not_placed,,0.0115953929,0.40,not_placed,,0.0116650500,0.30,not_placed,,0,rejected_origin_floor,0.0117600000,0.0108900000,0.0109760000
2026-07-30T11:33:09+08:00,2026-07-30T11:33:10+08:00,2026-07-30T11:36:09+08:00,0.0123820000,5.1818%,5.5764%,4.2256%,65273486.0000000000,410738.0000000000,31.7835x,0.0077720000,59.3155%,0.0077720000,0.0085492000,0.0125930000,0.0002902857,momentum_atr_estimate,0.0123752857,0.0136090000,0.0127980000,0.0120690000,3.3597%,-2.5279%,no,0.0122591714,0.30,not_placed,,0.0123752857,0.40,not_placed,,0.0124914000,0.30,not_placed,,0,rejected_origin_floor,0.0127980000,0.0120690000,0.0124510000
2026-07-30T12:29:03+08:00,2026-07-30T12:29:04+08:00,2026-07-30T12:32:03+08:00,0.0135100000,5.2017%,5.3165%,5.2509%,71268689.0000000000,99416.0000000000,143.3747x,0.0077720000,73.8291%,0.0077720000,0.0085492000,0.0137160000,0.0001837857,momentum_atr_estimate,0.0135781607,0.0143592500,0.0139300000,0.0131020000,3.1088%,-3.0200%,no,0.0135046464,0.30,not_placed,,0.0135781607,0.40,not_placed,,0.0136516750,0.30,not_placed,,0,rejected_origin_floor,0.0139300000,0.0131020000,0.0132760000
2026-07-31T02:17:10+08:00,2026-07-31T02:17:11+08:00,2026-07-31T02:20:10+08:00,0.0160470000,8.9409%,9.2153%,10.6919%,107250609.0000000000,242394.0000000000,88.4928x,0.0094300000,70.1697%,0.0079910000,0.0087901000,0.0163750000,0.0004066429,momentum_atr_estimate,0.0160700179,0.0177982500,0.0189000000,0.0154950000,17.7790%,-3.4399%,yes,0.0159073607,0.30,not_placed,,0.0160700179,0.40,not_placed,,0.0162326750,0.30,not_placed,,0,rejected_origin_floor,0.0189000000,0.0149660000,0.0156750000
2026-07-31T04:19:31+08:00,2026-07-31T04:19:32+08:00,2026-07-31T04:22:31+08:00,0.0203160000,5.3188%,5.4829%,6.3220%,56510572.0000000000,376021.0000000000,30.0571x,0.0098030000,107.2427%,0.0090110000,0.0099121000,0.0204700000,0.0003186429,momentum_atr_estimate,0.0202310179,0.0215852500,0.0215600000,0.0198090000,6.1233%,-2.4956%,no,0.0201035607,0.30,not_placed,,0.0202310179,0.40,not_placed,,0.0203584750,0.30,not_placed,,0,rejected_origin_floor,0.0216600000,0.0198090000,0.0216190000
2026-07-31T07:40:12+08:00,2026-07-31T07:40:13+08:00,2026-07-31T07:43:12+08:00,0.0237160000,5.1195%,6.5744%,6.6319%,97873486.0000000000,282899.0000000000,69.1932x,0.0116870000,102.9263%,0.0094300000,0.0103730000,0.0242000000,0.0002759286,momentum_atr_estimate,0.0239930536,0.0251657500,0.0241440000,0.0229010000,1.8047%,-3.4365%,no,0.0238826821,0.30,filled,2026-07-31T07:40:14+08:00,0.0239930536,0.40,filled,2026-07-31T07:40:15+08:00,0.0241034250,0.30,filled,2026-07-31T07:40:15+08:00,3,all_filled,0.0241440000,0.0229010000,0.0230560000
