signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close,exit_status,entry_avg,exit_price,gross_return,net_return
2026-07-31T14:22:08+08:00,2026-07-31T14:22:09+08:00,2026-07-31T14:25:08+08:00,0.0457300000,5.9055%,6.0283%,5.3929%,10144936.0000000000,338347.0000000000,5.9968x,0.0260300000,75.6819%,0.0259800000,0.0285780000,0.0458000000,0.0000885714,momentum_atr_estimate,0.0457335714,0.0461100000,0.0459400000,0.0440500000,0.4592%,-3.6737%,no,0.0456981429,0.30,not_placed,,0.0457335714,0.40,not_placed,,0.0457690000,0.30,not_placed,,0,rejected_origin_floor,0.0467000000,0.0440500000,0.0451400000,no_position,,,,
2026-07-31T14:59:06+08:00,2026-07-31T14:59:07+08:00,2026-07-31T15:02:06+08:00,0.0482300000,5.1221%,4.8023%,5.5361%,20583932.0000000000,133618.0000000000,30.8101x,0.0260900000,84.8601%,0.0259800000,0.0285780000,0.0493700000,0.0000700000,momentum_atr_estimate,0.0493175000,0.0496150000,0.0552600000,0.0481600000,14.5760%,-0.1451%,yes,0.0492895000,0.30,filled,2026-07-31T14:59:08+08:00,0.0493175000,0.40,filled,2026-07-31T14:59:08+08:00,0.0493455000,0.30,filled,2026-07-31T14:59:08+08:00,3,all_filled,0.0554400000,0.0481600000,0.0546200000,stop,0.0493175000,0.0496150000,-0.5996%,-0.6796%
2026-07-31T22:46:00+08:00,2026-07-31T22:46:01+08:00,2026-07-31T22:49:00+08:00,0.0587200000,27.9303%,-0.2717%,-0.2379%,298249.0000000000,15769.0000000000,3.7827x,0.0268300000,118.8595%,0.0265900000,0.0292490000,0.0588100000,0.0029214286,momentum_atr_estimate,0.0566189286,0.0690350000,0.0598900000,0.0586100000,1.9925%,-0.1873%,no,0.0554503571,0.30,not_placed,,0.0566189286,0.40,not_placed,,0.0577875000,0.30,not_placed,,0,rejected_origin_floor,0.0598900000,0.0586100000,0.0590700000,no_position,,,,
2026-07-31T22:57:05+08:00,2026-07-31T22:57:06+08:00,2026-07-31T23:00:05+08:00,0.0639400000,5.1645%,5.2337%,7.4983%,26967351.0000000000,79699.0000000000,67.6730x,0.0268300000,138.3153%,0.0265900000,0.0292490000,0.0644400000,0.0038600000,momentum_atr_estimate,0.0615450000,0.0779500000,0.0640400000,0.0611800000,0.1564%,-4.3165%,no,0.0600010000,0.30,not_placed,,0.0615450000,0.40,not_placed,,0.0630890000,0.30,not_placed,,0,rejected_origin_floor,0.0640400000,0.0611800000,0.0617400000,no_position,,,,
2026-08-01T06:57:05+08:00,2026-08-01T06:57:06+08:00,2026-08-01T07:00:05+08:00,0.0639400000,5.1645%,5.2337%,7.4983%,26967351.0000000000,79699.0000000000,67.6730x,0.0268300000,138.3153%,0.0268300000,0.0295130000,0.0644400000,0.0017021429,momentum_atr_estimate,0.0631633929,0.0703975000,0.0640400000,0.0611800000,0.1564%,-4.3165%,no,0.0624825357,0.30,not_placed,,0.0631633929,0.40,not_placed,,0.0638442500,0.30,not_placed,,0,rejected_origin_floor,0.0640400000,0.0611800000,0.0617400000,no_position,,,,
