signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close,exit_status,entry_avg,exit_price,gross_return,net_return
2026-07-04T12:02:15+08:00,2026-07-04T12:02:16+08:00,2026-07-04T12:05:15+08:00,12.5750000000,5.7789%,6.9485%,10.2490%,252339.0000000000,5909.0000000000,8.5408x,5.6800000000,121.3908%,5.5190000000,6.0709000000,12.5880000000,0.2507857143,momentum_atr_estimate,12.3999107143,13.4657500000,13.8000000000,12.3340000000,9.7416%,-1.9165%,yes,12.2995964286,0.30,not_placed,,12.3999107143,0.40,not_placed,,12.5002250000,0.30,not_placed,,0,rejected_origin_floor,13.8000000000,12.3340000000,12.9700000000,no_position,,,,
2026-07-04T17:58:29+08:00,2026-07-04T17:58:30+08:00,2026-07-04T18:01:29+08:00,15.8300000000,5.8014%,7.1042%,9.1423%,359619.0000000000,1569.0000000000,45.8405x,5.7810000000,173.8281%,5.7810000000,6.3591000000,16.3000000000,0.2476428571,momentum_atr_estimate,16.1142678571,17.1667500000,16.8800000000,15.6000000000,6.6330%,-1.4529%,no,16.0152107143,0.30,filled,2026-07-04T17:58:31+08:00,16.1142678571,0.40,filled,2026-07-04T17:58:31+08:00,16.2133250000,0.30,filled,2026-07-04T17:58:34+08:00,3,all_filled,16.8800000000,15.4420000000,15.5780000000,timeout,16.1142678571,15.5180000000,3.8424%,3.7624%
2026-07-05T05:27:01+08:00,2026-07-05T05:27:02+08:00,2026-07-05T05:30:01+08:00,17.6970000000,5.9891%,6.0653%,6.0272%,375910.0000000000,325.0000000000,231.3292x,9.7700000000,81.1361%,7.3040000000,8.0344000000,17.7100000000,0.2632857143,momentum_atr_estimate,17.5125357143,18.6315000000,17.9980000000,17.2330000000,1.7009%,-2.6219%,no,17.4072214286,0.30,not_placed,,17.5125357143,0.40,not_placed,,17.6178500000,0.30,not_placed,,0,rejected_origin_floor,17.9980000000,17.1620000000,17.1620000000,no_position,,,,
2026-07-14T03:32:31+08:00,2026-07-14T03:32:32+08:00,2026-07-14T03:35:31+08:00,0.2827000000,5.2886%,6.5185%,7.6132%,5856958.0000000000,19524.0000000000,59.9975x,0.2100000000,34.6190%,0.2100000000,0.2310000000,0.2868000000,0.0080714286,momentum_atr_estimate,0.2807464286,0.3150500000,0.3173000000,0.2819000000,12.2391%,-0.2830%,yes,0.2775178571,0.30,not_placed,,0.2807464286,0.40,not_placed,,0.2839750000,0.30,not_placed,,0,rejected_origin_floor,0.3399000000,0.2819000000,0.3314000000,no_position,,,,
2026-07-14T04:03:40+08:00,2026-07-14T04:03:41+08:00,2026-07-14T04:06:40+08:00,0.3639000000,5.2342%,5.1430%,5.8772%,3160897.0000000000,21460.0000000000,29.4585x,0.2100000000,73.2857%,0.2100000000,0.2310000000,0.3643000000,0.0068785714,momentum_atr_estimate,0.3591410714,0.3883750000,0.3860000000,0.3566000000,6.0731%,-2.0060%,no,0.3563896429,0.30,not_placed,,0.3591410714,0.40,not_placed,,0.3618925000,0.30,not_placed,,0,rejected_origin_floor,0.3860000000,0.3566000000,0.3680000000,no_position,,,,
2026-07-14T04:56:17+08:00,2026-07-14T04:56:18+08:00,2026-07-14T04:59:17+08:00,0.3338000000,6.0019%,-14.3444%,-24.3427%,8091282.0000000000,91790.0000000000,17.6300x,0.2100000000,58.9524%,0.2100000000,0.2310000000,0.3377000000,0.0064785714,momentum_atr_estimate,0.3328410714,0.3603750000,0.3532000000,0.3180000000,5.8119%,-4.7334%,no,0.3302496429,0.30,not_placed,,0.3328410714,0.40,not_placed,,0.3354325000,0.30,not_placed,,0,rejected_origin_floor,0.3532000000,0.2913000000,0.3109000000,no_position,,,,
2026-07-14T04:59:40+08:00,2026-07-14T04:59:41+08:00,2026-07-14T05:02:40+08:00,0.3099000000,5.2292%,-2.5778%,-8.8529%,2538883.0000000000,112103.0000000000,4.5296x,0.2100000000,47.5714%,0.2100000000,0.2310000000,0.3104000000,0.0064785714,momentum_atr_estimate,0.3055410714,0.3330750000,0.3368000000,0.3016000000,8.6802%,-2.6783%,yes,0.3029496429,0.30,not_placed,,0.3055410714,0.40,not_placed,,0.3081325000,0.30,not_placed,,0,rejected_origin_floor,0.3368000000,0.3016000000,0.3324000000,no_position,,,,
2026-07-14T05:18:16+08:00,2026-07-14T05:18:17+08:00,2026-07-14T05:21:16+08:00,0.3480000000,6.3570%,6.1623%,2.7155%,2072037.0000000000,26554.0000000000,15.6062x,0.2100000000,65.7143%,0.2100000000,0.2310000000,0.3482000000,0.0070928571,momentum_atr_estimate,0.3428803571,0.3730250000,0.3545000000,0.3374000000,1.8678%,-3.0460%,no,0.3400432143,0.30,not_placed,,0.3428803571,0.40,not_placed,,0.3457175000,0.30,not_placed,,0,rejected_origin_floor,0.3545000000,0.3374000000,0.3485000000,no_position,,,,
2026-07-14T05:50:05+08:00,2026-07-14T05:50:06+08:00,2026-07-14T05:53:05+08:00,0.3334000000,5.4730%,5.3064%,6.2799%,2418804.0000000000,13546.0000000000,35.7124x,0.2100000000,58.7619%,0.2100000000,0.2310000000,0.3341000000,0.0056357143,momentum_atr_estimate,0.3298732143,0.3538250000,0.3365000000,0.3204000000,0.9298%,-3.8992%,no,0.3276189286,0.30,not_placed,,0.3298732143,0.40,not_placed,,0.3321275000,0.30,not_placed,,0,rejected_origin_floor,0.3365000000,0.3204000000,0.3230000000,no_position,,,,
