signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close,exit_status,entry_avg,exit_price,gross_return,net_return
2026-07-12T13:45:10+08:00,2026-07-12T13:45:11+08:00,2026-07-12T13:48:10+08:00,49.4000000000,5.1511%,8.0963%,8.3571%,58054.0299999998,38.6600000000,300.3312x,37.2400000000,32.6531%,36.6300000000,40.2930000000,49.8100000000,0.2828571429,momentum_atr_estimate,49.5978571429,50.8000000000,49.9600000000,46.6900000000,1.1336%,-5.4858%,no,49.4847142857,0.30,filled,2026-07-12T13:45:11+08:00,49.5978571429,0.40,filled,2026-07-12T13:45:11+08:00,49.7110000000,0.30,filled,2026-07-12T13:45:11+08:00,3,all_filled,49.9600000000,46.6900000000,47.1400000000,target,49.5978571429,47.1935714286,5.0945%,5.0145%
2026-07-21T08:26:32+08:00,2026-07-21T08:26:33+08:00,2026-07-21T08:29:32+08:00,41.4200000000,5.2872%,2.3980%,4.2537%,7792.7300000000,459.6200000000,3.3909x,33.9400000000,22.0389%,33.3900000000,36.7290000000,41.4500000000,0.2507142857,momentum_atr_estimate,41.2619642857,42.3275000000,41.5800000000,38.0800000000,0.3863%,-8.0637%,no,41.1616785714,0.30,not_placed,,41.2619642857,0.40,not_placed,,41.3622500000,0.30,not_placed,,0,rejected_origin_floor,41.5800000000,38.0800000000,40.0500000000,no_position,,,,
2026-07-24T21:08:03+08:00,2026-07-24T21:08:04+08:00,2026-07-24T21:11:03+08:00,3.5470000000,5.2522%,6.2931%,6.0706%,219124.0399999999,2285.0200000000,19.1792x,1.4340000000,147.3501%,1.2870000000,1.4157000000,3.5700000000,0.1279285714,momentum_atr_estimate,3.4740535714,4.0177500000,3.5540000000,3.4510000000,0.1973%,-2.7065%,no,3.4228821429,0.30,not_placed,,3.4740535714,0.40,not_placed,,3.5252250000,0.30,not_placed,,0,rejected_origin_floor,3.5540000000,3.4510000000,3.5220000000,no_position,,,,
2026-07-25T04:16:49+08:00,2026-07-25T04:16:50+08:00,2026-07-25T04:19:49+08:00,5.2170000000,5.0121%,5.6073%,6.3825%,879110.3299999982,3302.8800000000,53.2330x,2.1520000000,142.4257%,1.7800000000,1.9580000000,5.2360000000,0.1645714286,momentum_atr_estimate,5.1125714286,5.8120000000,5.3560000000,5.1540000000,2.6644%,-1.2076%,no,5.0467428571,0.30,not_placed,,5.1125714286,0.40,not_placed,,5.1784000000,0.30,not_placed,,0,rejected_origin_floor,5.4770000000,5.1540000000,5.3180000000,no_position,,,,
2026-07-25T12:44:24+08:00,2026-07-25T12:44:25+08:00,2026-07-25T12:47:24+08:00,4.2860000000,5.6967%,6.4845%,6.4845%,497134.0099999999,3843.9700000000,25.8657x,3.2070000000,33.6452%,2.4680000000,2.7148000000,5.6140000000,0.3119285714,momentum_atr_estimate,5.3800535714,6.7057500000,4.4790000000,4.1780000000,4.5030%,-2.5198%,no,5.2552821429,0.30,unfilled,,5.3800535714,0.40,unfilled,,5.5048250000,0.30,unfilled,,0,no_fill,4.4790000000,4.1780000000,4.2840000000,no_position,,,,
